[11-Feb-2021 11:31:02 UTC] PHP Warning:  mysqli_real_connect(): (HY000/1045): Access denied for user ' opetitcoin'@'localhost' (using password: YES) in /var/www/html/Apotheose/OpetitCoin/project-site-de-notation/backend/wordpress/wp/wp-includes/wp-db.php on line 1653
[11-Feb-2021 11:31:02 UTC] PHP Stack trace:
[11-Feb-2021 11:31:02 UTC] PHP   1. {main}() /usr/local/bin/wp:0
[11-Feb-2021 11:31:02 UTC] PHP   2. include() /usr/local/bin/wp:4
[11-Feb-2021 11:31:02 UTC] PHP   3. include() phar:///usr/local/bin/wp/php/boot-phar.php:11
[11-Feb-2021 11:31:02 UTC] PHP   4. WP_CLI\bootstrap() phar:///usr/local/bin/wp/vendor/wp-cli/wp-cli/php/wp-cli.php:27
[11-Feb-2021 11:31:02 UTC] PHP   5. WP_CLI\Bootstrap\LaunchRunner->process() phar:///usr/local/bin/wp/vendor/wp-cli/wp-cli/php/bootstrap.php:74
[11-Feb-2021 11:31:02 UTC] PHP   6. WP_CLI\Runner->start() phar:///usr/local/bin/wp/vendor/wp-cli/wp-cli/php/WP_CLI/Bootstrap/LaunchRunner.php:23
[11-Feb-2021 11:31:02 UTC] PHP   7. WP_CLI\Runner->load_wordpress() phar:///usr/local/bin/wp/vendor/wp-cli/wp-cli/php/WP_CLI/Runner.php:1158
[11-Feb-2021 11:31:02 UTC] PHP   8. require() phar:///usr/local/bin/wp/vendor/wp-cli/wp-cli/php/WP_CLI/Runner.php:1237
[11-Feb-2021 11:31:02 UTC] PHP   9. require_wp_db() /var/www/html/Apotheose/OpetitCoin/project-site-de-notation/backend/wordpress/wp/wp-settings.php:124
[11-Feb-2021 11:31:02 UTC] PHP  10. wpdb->__construct() /var/www/html/Apotheose/OpetitCoin/project-site-de-notation/backend/wordpress/wp/wp-includes/load.php:527
[11-Feb-2021 11:31:02 UTC] PHP  11. wpdb->db_connect() /var/www/html/Apotheose/OpetitCoin/project-site-de-notation/backend/wordpress/wp/wp-includes/wp-db.php:632
[11-Feb-2021 11:31:02 UTC] PHP  12. mysqli_real_connect() /var/www/html/Apotheose/OpetitCoin/project-site-de-notation/backend/wordpress/wp/wp-includes/wp-db.php:1653
[15-Feb-2021 18:43:24 UTC] PHP Warning:  require(/var/www/html/apotheose/project-site-de-notation/backend/wordpress/content/plugins/opetitcoin/vendor/autoload.php): failed to open stream: No such file or directory in /var/www/html/apotheose/project-site-de-notation/backend/wordpress/content/plugins/opetitcoin/opetitcoin.php on line 13
[15-Feb-2021 18:43:24 UTC] PHP Stack trace:
[15-Feb-2021 18:43:24 UTC] PHP   1. {main}() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/index.php:0
[15-Feb-2021 18:43:24 UTC] PHP   2. require() /var/www/html/apotheose/project-site-de-notation/backend/wordpress/index.php:17
